,leaderboardId,songId,cover,fullCover,name,subName,author,mapper,bpm,duration,stars,passRating,accRating,techRating,modifiersRating,difficultyName,type,starsMod,passRatingMod,accRatingMod,techRatingMod
2333,1245e91,1245e,https://eu.cdn.beatsaver.com/11685b6d771d12b7733481dd28444aa007defcfa.jpg,https://cdn.assets.beatleader.xyz/songcover-1245e-cover.png,Radiclaw,,Azazal & Paper Skies,CyanSnow,105.0,175,7.70991,3.5705125,9.75753,5.6848674,"{'id': 6253, 'ssPredictedAcc': 0.9781357, 'ssPassRating': 2.8231626, 'ssAccRating': 9.171372, 'ssTechRating': 4.809023, 'ssStars': 6.877498, 'fsPredictedAcc': 0.9734862, 'fsPassRating': 4.5895166, 'fsAccRating': 10.571579, 'fsTechRating': 6.1680746, 'fsStars': 8.782298, 'sfPredictedAcc': 0.9689107, 'sfPassRating': 6.206254, 'sfAccRating': 11.698528, 'sfTechRating': 6.9757347, 'sfStars': 10.416975, 'bfsPredictedAcc': 0.97387415, 'bfsPassRating': 4.467201, 'bfsAccRating': 10.459469, 'bfsTechRating': 6.2103324, 'bfsStars': 8.654833, 'bsfPredictedAcc': 0.97021484, 'bsfPassRating': 6.1164703, 'bsfAccRating': 11.424299, 'bsfTechRating': 7.0873394, 'bsfStars': 10.161083}",ExpertPlus,Tech,7.70991,3.5705125,9.75753,5.6848674
2336,3b77fxxxxxxxx91,3b77f,https://cdn.beatsaver.com/335431839b3d8c2a95f5f25d6ed46335388431a6.jpg,https://cdn.assets.beatleader.xyz/songcover-3b77fxxxxxxxx-full.webp,Rabbit Hole,feat. Hatsune Miku,DECO*27,Ryleeeee,173.0,164,9.397726,9.431155,9.615431,5.0977583,"{'id': 1208323, 'ssPredictedAcc': 0.97914755, 'ssPassRating': 7.8730717, 'ssAccRating': 8.779342, 'ssTechRating': 4.9442477, 'ssStars': 8.122722, 'fsPredictedAcc': 0.97315687, 'fsPassRating': 11.934758, 'fsAccRating': 10.668642, 'fsTechRating': 5.416888, 'fsStars': 11.336482, 'sfPredictedAcc': 0.96730316, 'sfPassRating': 15.944598, 'sfAccRating': 12.027361, 'sfTechRating': 5.80796, 'sfStars': 14.441111, 'bfsPredictedAcc': 0.9737593, 'bfsPassRating': 11.705243, 'bfsAccRating': 10.492406, 'bfsTechRating': 5.3127174, 'bfsStars': 11.067903, 'bsfPredictedAcc': 0.96939665, 'bsfPassRating': 15.219843, 'bsfAccRating': 11.594819, 'bsfTechRating': 5.543962, 'bsfStars': 13.640116}",ExpertPlus,Midspeed,9.397726,9.431155,9.615431,5.0977583
2345,37e07xxx71,37e07,https://cdn.beatsaver.com/060d2380785754c03694905147952ee88ccea08c.jpg,https://cdn.assets.beatleader.xyz/songcover-37e07xxx-cover.png,R U Still xxxx?,,Camellia,Darkrealm7,234.0,248,5.659461,4.1757226,7.4653974,3.0338287,"{'id': 1110538, 'ssPredictedAcc': 0.98463315, 'ssPassRating': 3.372171, 'ssAccRating': 6.744459, 'ssTechRating': 2.7285445, 'ssStars': 4.848123, 'fsPredictedAcc': 0.9801643, 'fsPassRating': 5.3547025, 'fsAccRating': 8.441754, 'fsTechRating': 3.392094, 'fsStars': 6.8242865, 'sfPredictedAcc': 0.9756578, 'sfPassRating': 7.4063535, 'sfAccRating': 9.944833, 'sfTechRating': 3.9025557, 'sfStars': 8.799279, 'bfsPredictedAcc': 0.980638, 'bfsPassRating': 5.345863, 'bfsAccRating': 8.26044, 'bfsTechRating': 3.4764695, 'bfsStars': 6.6876216, 'bsfPredictedAcc': 0.97715855, 'bsfPassRating': 7.116063, 'bsfAccRating': 9.462778, 'bsfTechRating': 3.821684, 'bsfStars': 8.281018}",Expert,Midspeed,5.659461,4.1757226,7.4653974,3.0338287
2347,37e07xxx72,37e07,https://cdn.beatsaver.com/060d2380785754c03694905147952ee88ccea08c.jpg,https://cdn.assets.beatleader.xyz/songcover-37e07xxx-cover.png,R U Still xxxx?,,Camellia,Darkrealm7,234.0,248,9.4752445,5.6322956,10.821008,7.1087136,"{'id': 1110540, 'ssPredictedAcc': 0.97564834, 'ssPassRating': 4.5674415, 'ssAccRating': 9.94803, 'ssTechRating': 6.5900307, 'ssStars': 8.309023, 'fsPredictedAcc': 0.9687353, 'fsPassRating': 6.950807, 'fsAccRating': 11.736428, 'fsTechRating': 7.5857687, 'fsStars': 10.80179, 'sfPredictedAcc': 0.96338785, 'sfPassRating': 9.393816, 'sfAccRating': 12.739248, 'sfTechRating': 8.22581, 'sfStars': 12.7127075, 'bfsPredictedAcc': 0.96850735, 'bfsPassRating': 6.965159, 'bfsAccRating': 11.786032, 'bfsTechRating': 7.7178006, 'bfsStars': 10.872738, 'bsfPredictedAcc': 0.9629502, 'bsfPassRating': 9.041988, 'bsfAccRating': 12.824084, 'bsfTechRating': 8.215658, 'bsfStars': 12.656295}",Expert,Tech,9.4752445,5.6322956,10.821008,7.1087136
2348,37e07xxx91,37e07,https://cdn.beatsaver.com/060d2380785754c03694905147952ee88ccea08c.jpg,https://cdn.assets.beatleader.xyz/songcover-37e07xxx-cover.png,R U Still xxxx?,,Camellia,Darkrealm7,234.0,248,9.296948,7.8346725,10.149766,5.041288,"{'id': 1110539, 'ssPredictedAcc': 0.9777101, 'ssPassRating': 6.448701, 'ssAccRating': 9.297145, 'ssTechRating': 4.758003, 'ssStars': 8.0690975, 'fsPredictedAcc': 0.97111666, 'fsPassRating': 9.805363, 'fsAccRating': 11.192747, 'fsTechRating': 5.3672557, 'fsStars': 10.976359, 'sfPredictedAcc': 0.96462625, 'sfPassRating': 13.158504, 'sfAccRating': 12.5051365, 'sfTechRating': 5.8095784, 'sfStars': 13.621464, 'bfsPredictedAcc': 0.971648, 'bfsPassRating': 9.632876, 'bfsAccRating': 11.057723, 'bfsTechRating': 5.3965364, 'bfsStars': 10.795186, 'bsfPredictedAcc': 0.96657974, 'bsfPassRating': 12.57411, 'bsfAccRating': 12.152843, 'bsfTechRating': 5.683807, 'bsfStars': 13.016509}",ExpertPlus,Midspeed,9.296948,7.8346725,10.149766,5.041288
2352,37e07xxx92,37e07,https://cdn.beatsaver.com/060d2380785754c03694905147952ee88ccea08c.jpg,https://cdn.assets.beatleader.xyz/songcover-37e07xxx-cover.png,R U Still xxxx?,,Camellia,Darkrealm7,234.0,248,12.840153,7.5027537,13.573776,8.537307,"{'id': 1110541, 'ssPredictedAcc': 0.96201205, 'ssPassRating': 6.2168703, 'ssAccRating': 12.969059, 'ssTechRating': 8.083577, 'ssStars': 11.749747, 'fsPredictedAcc': 0.95405877, 'fsPassRating': 9.45895, 'fsAccRating': 14.14301, 'fsTechRating': 9.024216, 'fsStars': 14.201414, 'sfPredictedAcc': 0.9495916, 'sfPassRating': 12.641412, 'sfAccRating': 14.7515745, 'sfTechRating': 9.939149, 'sfStars': 16.289274, 'bfsPredictedAcc': 0.95292115, 'bfsPassRating': 9.2794, 'bfsAccRating': 14.308762, 'bfsTechRating': 9.002994, 'bfsStars': 14.286119, 'bsfPredictedAcc': 0.94727045, 'bsfPassRating': 12.088595, 'bsfAccRating': 15.064619, 'bsfTechRating': 9.504259, 'bsfStars': 16.276253}",ExpertPlus,Tech,12.840153,7.5027537,13.573776,8.537307
2355,12bdb91,12bdb,https://eu.cdn.beatsaver.com/541bb4be6d9d95c08426e3995bae782a5ece5fd3.jpg,https://cdn.assets.beatleader.xyz/songcover-12bdb-cover.jpg,Qyoh,(Nine Stars),Camellia,muffn,242.0,429,11.057348,8.921475,11.755287,4.751084,"{'id': 6324, 'ssPredictedAcc': 0.9732911, 'ssPassRating': 7.3941298, 'ssAccRating': 10.715903, 'ssTechRating': 4.3877244, 'ssStars': 9.538222, 'fsPredictedAcc': 0.9621911, 'fsPassRating': 10.910573, 'fsAccRating': 13.048594, 'fsTechRating': 4.663522, 'fsStars': 12.997711, 'sfPredictedAcc': 0.94997615, 'sfPassRating': 15.550424, 'sfAccRating': 14.819685, 'sfTechRating': 4.739494, 'sfStars': 16.793919, 'bfsPredictedAcc': 0.9636564, 'bfsPassRating': 11.179694, 'bfsAccRating': 12.687731, 'bfsTechRating': 4.926308, 'bfsStars': 12.8125725, 'bsfPredictedAcc': 0.954942, 'bsfPassRating': 14.623425, 'bsfAccRating': 14.01694, 'bsfTechRating': 5.178012, 'bsfStars': 15.633104}",ExpertPlus,Midspeed,11.057348,8.921475,11.755287,4.751084
2356,1306911,13069,https://eu.cdn.beatsaver.com/ff4bb1df4d36edde892da375fe60ea34fef8b7a0.jpg,https://cdn.assets.beatleader.xyz/songcover-13069-cover.jpg,Quon,,DJ Noriken,+1 Rabbit,170.0,124,3.1247277,1.3632654,5.1531935,2.2750945,"{'id': 6384, 'ssPredictedAcc': 0.9898654, 'ssPassRating': 1.0478392, 'ssAccRating': 4.9113226, 'ssTechRating': 1.7038608, 'ssStars': 2.8091037, 'fsPredictedAcc': 0.98813015, 'fsPassRating': 1.8132684, 'fsAccRating': 5.547636, 'fsTechRating': 2.6190531, 'fsStars': 3.5569665, 'sfPredictedAcc': 0.9864966, 'sfPassRating': 2.5514605, 'sfAccRating': 6.0167856, 'sfTechRating': 3.2876616, 'sfStars': 4.1689014, 'bfsPredictedAcc': 0.9883189, 'bfsPassRating': 1.7686188, 'bfsAccRating': 5.333713, 'bfsTechRating': 2.5487497, 'bfsStars': 3.3884757, 'bsfPredictedAcc': 0.9870242, 'bsfPassRating': 2.4700708, 'bsfAccRating': 5.8211727, 'bsfTechRating': 3.2076743, 'bsfStars': 3.9966915}",Easy,Accuracy,3.1247277,1.3632654,5.1531935,2.2750945
2357,1306931,13069,https://eu.cdn.beatsaver.com/ff4bb1df4d36edde892da375fe60ea34fef8b7a0.jpg,https://cdn.assets.beatleader.xyz/songcover-13069-cover.jpg,Quon,,DJ Noriken,+1 Rabbit,170.0,124,3.8575654,2.137882,5.866673,2.5485916,"{'id': 6385, 'ssPredictedAcc': 0.98833114, 'ssPassRating': 1.6588204, 'ssAccRating': 5.4654264, 'ssTechRating': 1.9804559, 'ssStars': 3.3799067, 'fsPredictedAcc': 0.98569226, 'fsPassRating': 2.809642, 'fsAccRating': 6.457914, 'fsTechRating': 2.8311574, 'fsStars': 4.498743, 'sfPredictedAcc': 0.98321074, 'sfPassRating': 3.8879085, 'sfAccRating': 7.297023, 'sfTechRating': 3.3654878, 'sfStars': 5.4952474, 'bfsPredictedAcc': 0.9859415, 'bfsPassRating': 2.7390234, 'bfsAccRating': 6.237329, 'bfsTechRating': 2.790234, 'bfsStars': 4.3133636, 'bsfPredictedAcc': 0.98397774, 'bsfPassRating': 3.762779, 'bsfAccRating': 6.988311, 'bsfTechRating': 3.3275135, 'bsfStars': 5.2193975}",Normal,Accuracy,3.8575654,2.137882,5.866673,2.5485916
2358,1306951,13069,https://eu.cdn.beatsaver.com/ff4bb1df4d36edde892da375fe60ea34fef8b7a0.jpg,https://cdn.assets.beatleader.xyz/songcover-13069-cover.jpg,Quon,,DJ Noriken,+1 Rabbit,170.0,124,4.809923,3.0477455,6.747607,3.0779345,"{'id': 6386, 'ssPredictedAcc': 0.98637444, 'ssPassRating': 2.412431, 'ssAccRating': 6.186508, 'ssTechRating': 2.5062177, 'ssStars': 4.153212, 'fsPredictedAcc': 0.9828016, 'fsPassRating': 3.916232, 'fsAccRating': 7.5587296, 'fsTechRating': 3.301248, 'fsStars': 5.69638, 'sfPredictedAcc': 0.97937834, 'sfPassRating': 5.2772913, 'sfAccRating': 8.700368, 'sfTechRating': 3.7339354, 'sfStars': 7.0610433, 'bfsPredictedAcc': 0.9831815, 'bfsPassRating': 3.9004948, 'bfsAccRating': 7.3093452, 'bfsTechRating': 3.337884, 'bfsStars': 5.5044045, 'bsfPredictedAcc': 0.98055315, 'bsfPassRating': 5.2095656, 'bsfAccRating': 8.294726, 'bsfTechRating': 3.775865, 'bsfStars': 6.718226}",Hard,Midspeed,4.809923,3.0477455,6.747607,3.0779345
2359,1306971,13069,https://eu.cdn.beatsaver.com/ff4bb1df4d36edde892da375fe60ea34fef8b7a0.jpg,https://cdn.assets.beatleader.xyz/songcover-13069-cover.jpg,Quon,,DJ Noriken,+1 Rabbit,170.0,124,6.6302495,5.560573,8.044073,3.841838,"{'id': 6387, 'ssPredictedAcc': 0.98329043, 'ssPassRating': 4.5079775, 'ssAccRating': 7.355502, 'ssTechRating': 3.3619356, 'ssStars': 5.7134314, 'fsPredictedAcc': 0.97853756, 'fsPassRating': 6.9505634, 'fsAccRating': 9.028926, 'fsTechRating': 3.8914938, 'fsStars': 7.873482, 'sfPredictedAcc': 0.97382396, 'sfPassRating': 9.566684, 'sfAccRating': 10.473838, 'sfTechRating': 4.0976624, 'sfStars': 10.041916, 'bfsPredictedAcc': 0.9790669, 'bfsPassRating': 6.730084, 'bfsAccRating': 8.807277, 'bfsTechRating': 3.852892, 'bfsStars': 7.6131344, 'bsfPredictedAcc': 0.9755122, 'bsfPassRating': 8.925992, 'bsfAccRating': 9.994237, 'bsfTechRating': 4.171732, 'bsfStars': 9.403331}",Expert,Midspeed,6.6302495,5.560573,8.044073,3.841838
2361,1306991,13069,https://eu.cdn.beatsaver.com/ff4bb1df4d36edde892da375fe60ea34fef8b7a0.jpg,https://cdn.assets.beatleader.xyz/songcover-13069-cover.jpg,Quon,,DJ Noriken,+1 Rabbit,170.0,124,8.449792,6.600703,9.808104,4.1022162,"{'id': 6388, 'ssPredictedAcc': 0.9789236, 'ssPassRating': 5.40027, 'ssAccRating': 8.896271, 'ssTechRating': 3.6653748, 'ssStars': 7.248157, 'fsPredictedAcc': 0.97181916, 'fsPassRating': 8.185558, 'fsAccRating': 11.014911, 'fsTechRating': 4.097987, 'fsStars': 10.027329, 'sfPredictedAcc': 0.96448785, 'sfPassRating': 11.410635, 'sfAccRating': 12.530869, 'sfTechRating': 4.248975, 'sfStars': 12.645918, 'bfsPredictedAcc': 0.97263306, 'bfsPassRating': 8.402065, 'bfsAccRating': 10.815819, 'bfsTechRating': 4.2174516, 'bfsStars': 9.946401, 'bsfPredictedAcc': 0.96728945, 'bsfPassRating': 11.107612, 'bsfAccRating': 12.029721, 'bsfTechRating': 4.5078163, 'bsfStars': 12.102295}",ExpertPlus,Midspeed,8.449792,6.600703,9.808104,4.1022162
2364,278991,2789,https://eu.cdn.beatsaver.com/41c21a4c326d3b427dc68509921a4cb6c0f4b3ca.jpg,https://cdn.assets.beatleader.xyz/songcover-2789-cover.jpg,Quo Vadis,M2U,squeaksies,squeaksies,160.0,146,10.05625,6.2146897,10.825054,9.555118,"{'id': 7967, 'ssPredictedAcc': 0.9748645, 'ssPassRating': 5.0171294, 'ssAccRating': 10.183797, 'ssTechRating': 8.765313, 'ssStars': 8.984738, 'fsPredictedAcc': 0.9692302, 'fsPassRating': 7.8034306, 'fsAccRating': 11.630139, 'fsTechRating': 9.974752, 'fsStars': 11.392953, 'sfPredictedAcc': 0.9636058, 'sfPassRating': 10.963887, 'sfAccRating': 12.697405, 'sfTechRating': 11.189623, 'sfStars': 13.796952, 'bfsPredictedAcc': 0.9694717, 'bfsPassRating': 7.403309, 'bfsAccRating': 11.578968, 'bfsTechRating': 9.151525, 'bfsStars': 11.070835, 'bsfPredictedAcc': 0.96484375, 'bsfPassRating': 9.725078, 'bsfAccRating': 12.464903, 'bsfTechRating': 9.703778, 'bsfStars': 12.832356}",ExpertPlus,Tech,10.05625,6.2146897,10.825054,9.555118
2368,7e8f11,7e8f,https://eu.cdn.beatsaver.com/4963752d07b806f9b0028d0015dc7e65bb74a1c8.jpg,https://cdn.assets.beatleader.xyz/songcover-7e8f-evening-lake-quiet-trees-water-reflection-sunset-wallpaper-1.jpg,Quiet Water,,Toby Fox,Whiisper,60.0,32,0.9109716,0.025604123,2.3268652,0.021425527,"{'id': 8598, 'ssPredictedAcc': 0.99782056, 'ssPassRating': 0.018889172, 'ssAccRating': 2.2284822, 'ssTechRating': 0.012006918, 'ssStars': 0.86045194, 'fsPredictedAcc': 0.99715465, 'fsPassRating': 0.035869636, 'fsAccRating': 2.4805698, 'fsTechRating': 0.022735622, 'fsStars': 0.98995346, 'sfPredictedAcc': 0.99661404, 'sfPassRating': 0.054248583, 'sfAccRating': 2.5458348, 'sfTechRating': 0.03400945, 'sfStars': 1.0249491, 'bfsPredictedAcc': 0.9972922, 'bfsPassRating': 0.0285304, 'bfsAccRating': 2.1983514, 'bfsTechRating': 0.01032147, 'bfsStars': 0.84522176, 'bsfPredictedAcc': 0.9969696, 'bsfPassRating': 0.042750634, 'bsfAccRating': 2.328609, 'bsfTechRating': 0.015429055, 'bsfStars': 0.9113095}",Easy,Accuracy,0.9109716,0.025604123,2.3268652,0.021425527
2377,1601071,16010,https://eu.cdn.beatsaver.com/a4dc5ce503be7d3e42dd9f51995a341bcff36b30.jpg,https://cdn.assets.beatleader.xyz/songcover-16010-cover.jpg,Quicksand,,Camellia,"Jabob, Narwhal, & Jez",260.0,248,11.0457325,10.114589,11.3024025,4.468216,"{'id': 6576, 'ssPredictedAcc': 0.97446793, 'ssPassRating': 8.418127, 'ssAccRating': 10.292419, 'ssTechRating': 4.152501, 'ssStars': 9.482572, 'fsPredictedAcc': 0.9645622, 'fsPassRating': 12.321277, 'fsAccRating': 12.517035, 'fsTechRating': 4.342387, 'fsStars': 13.025091, 'sfPredictedAcc': 0.9538453, 'sfPassRating': 17.770628, 'sfAccRating': 14.173815, 'sfTechRating': 4.388657, 'sfStars': 17.218983, 'bfsPredictedAcc': 0.96581656, 'bfsPassRating': 12.352027, 'bfsAccRating': 12.288085, 'bfsTechRating': 4.50072, 'bfsStars': 12.850114, 'bsfPredictedAcc': 0.95813644, 'bsfPassRating': 16.080992, 'bsfAccRating': 13.5692425, 'bsfTechRating': 4.7000685, 'bsfStars': 15.812014}",Expert,Speed,11.0457325,10.114589,11.3024025,4.468216
2378,1601091,16010,https://eu.cdn.beatsaver.com/a4dc5ce503be7d3e42dd9f51995a341bcff36b30.jpg,https://cdn.assets.beatleader.xyz/songcover-16010-cover.jpg,Quicksand,,Camellia,"Jabob, Narwhal, & Jez",260.0,248,10.691727,9.731719,11.11802,4.193917,"{'id': 6577, 'ssPredictedAcc': 0.9752124, 'ssPassRating': 8.104939, 'ssAccRating': 10.090368, 'ssTechRating': 3.8783078, 'ssStars': 9.156201, 'fsPredictedAcc': 0.9654623, 'fsPassRating': 11.847622, 'fsAccRating': 12.351885, 'fsTechRating': 4.0726943, 'fsStars': 12.628163, 'sfPredictedAcc': 0.9554835, 'sfPassRating': 16.990652, 'sfAccRating': 13.940756, 'sfTechRating': 4.122551, 'sfStars': 16.533144, 'bfsPredictedAcc': 0.9666859, 'bfsPassRating': 12.111559, 'bfsAccRating': 12.134261, 'bfsTechRating': 4.2939644, 'bfsStars': 12.571513, 'bsfPredictedAcc': 0.9595465, 'bsfPassRating': 15.762834, 'bsfAccRating': 13.344551, 'bsfTechRating': 4.487915, 'bsfStars': 15.39909}",ExpertPlus,Speed,10.691727,9.731719,11.11802,4.193917
2381,36a10x91,36a10,https://na.cdn.beatsaver.com/41f8405baf966d111fb3d357dded382eb91030a3.jpg,https://cdn.assets.beatleader.xyz/songcover-36a10x-cover.jpg,Queen Aluett,,LeaF,Anammelech,212.0,152,11.8615675,10.9145,11.419286,6.909606,"{'id': 1045654, 'ssPredictedAcc': 0.9735178, 'ssPassRating': 9.1654415, 'ssAccRating': 10.562361, 'ssTechRating': 6.7897153, 'ssStars': 10.404587, 'fsPredictedAcc': 0.96551585, 'fsPassRating': 13.198398, 'fsAccRating': 12.342202, 'fsTechRating': 6.9862027, 'fsStars': 13.68515, 'sfPredictedAcc': 0.95736897, 'sfPassRating': 16.56642, 'sfAccRating': 13.681826, 'sfTechRating': 7.028377, 'sfStars': 16.579105, 'bfsPredictedAcc': 0.96619433, 'bfsPassRating': 13.624269, 'bfsAccRating': 12.22076, 'bfsTechRating': 7.0039115, 'bfsStars': 13.760202, 'bsfPredictedAcc': 0.95996946, 'bsfPassRating': 17.61799, 'bsfAccRating': 13.278599, 'bsfTechRating': 7.2604017, 'bsfStars': 16.760864}",ExpertPlus,Tech,11.8615675,10.9145,11.419286,6.909606
2384,2ba9771,2ba97,https://eu.cdn.beatsaver.com/a10ab7826c90d98d4e6fdb1137e75b934209d288.jpg,https://cdn.assets.beatleader.xyz/songcover-2ba97-cover.jpg,QUEEN,(Shiki Miyoshino Cover),Kanaria,shad & GalaxyMaster,170.0,143,7.234681,4.85783,8.584386,6.413837,"{'id': 8202, 'ssPredictedAcc': 0.9817514, 'ssPassRating': 3.917946, 'ssAccRating': 7.910042, 'ssTechRating': 5.65823, 'ssStars': 6.3054986, 'fsPredictedAcc': 0.9771199, 'fsPassRating': 6.1119432, 'fsAccRating': 9.489833, 'fsTechRating': 6.737444, 'fsStars': 8.425736, 'sfPredictedAcc': 0.97286713, 'sfPassRating': 8.35383, 'sfAccRating': 10.755527, 'sfTechRating': 7.3828297, 'sfStars': 10.380824, 'bfsPredictedAcc': 0.97752, 'bfsPassRating': 5.729955, 'bfsAccRating': 9.35358, 'bfsTechRating': 6.5831847, 'bfsStars': 8.166464, 'bsfPredictedAcc': 0.97412497, 'bsfPassRating': 7.5813327, 'bsfAccRating': 10.3882475, 'bsfTechRating': 7.1719728, 'bsfStars': 9.753641}",Expert,Tech,7.234681,4.85783,8.584386,6.413837
2385,2ba9791,2ba97,https://eu.cdn.beatsaver.com/a10ab7826c90d98d4e6fdb1137e75b934209d288.jpg,https://cdn.assets.beatleader.xyz/songcover-2ba97-cover.jpg,QUEEN,(Shiki Miyoshino Cover),Kanaria,shad & GalaxyMaster,170.0,143,9.007625,5.8528237,9.880827,8.882076,"{'id': 8203, 'ssPredictedAcc': 0.9779518, 'ssPassRating': 4.756361, 'ssAccRating': 9.238095, 'ssTechRating': 8.101298, 'ssStars': 7.997912, 'fsPredictedAcc': 0.9728482, 'fsPassRating': 7.3096104, 'fsAccRating': 10.76126, 'fsTechRating': 9.282113, 'fsStars': 10.3258915, 'sfPredictedAcc': 0.9680186, 'sfPassRating': 10.142736, 'sfAccRating': 11.893822, 'sfTechRating': 10.379672, 'sfStars': 12.575227, 'bfsPredictedAcc': 0.9731346, 'bfsPassRating': 7.318992, 'bfsAccRating': 10.6752825, 'bfsTechRating': 9.317103, 'bfsStars': 10.258269, 'bsfPredictedAcc': 0.9691511, 'bsfPassRating': 9.472391, 'bsfAccRating': 11.646997, 'bsfTechRating': 9.764452, 'bsfStars': 11.986497}",ExpertPlus,Tech,9.007625,5.8528237,9.880827,8.882076
2391,28b5a91,28b5a,https://eu.cdn.beatsaver.com/bfd56ad122151afef6f763ea6dee5bd36efce9c2.jpg,https://cdn.assets.beatleader.xyz/songcover-28b5a-cover.jpg,Queen,,Kanaria,BigSlick,170.0,143,8.048376,3.8191018,9.879533,6.7586455,"{'id': 8046, 'ssPredictedAcc': 0.97781026, 'ssPassRating': 3.0510893, 'ssAccRating': 9.290143, 'ssTechRating': 5.8271303, 'ssStars': 7.1906147, 'fsPredictedAcc': 0.9730441, 'fsPassRating': 4.856562, 'fsAccRating': 10.702292, 'fsTechRating': 7.3079486, 'fsStars': 9.155348, 'sfPredictedAcc': 0.9686504, 'sfPassRating': 6.534195, 'sfAccRating': 11.754845, 'sfTechRating': 8.356152, 'sfStars': 10.800449, 'bfsPredictedAcc': 0.9734085, 'bfsPassRating': 4.8002696, 'bfsAccRating': 10.594316, 'bfsTechRating': 7.3014674, 'bfsStars': 9.043268, 'bsfPredictedAcc': 0.9699224, 'bsfPassRating': 6.5116816, 'bsfAccRating': 11.484668, 'bsfTechRating': 8.258413, 'bsfStars': 10.534835}",ExpertPlus,Tech,8.048376,3.8191018,9.879533,6.7586455
2397,8a151,8a1,https://eu.cdn.beatsaver.com/0942a4ccaa61989a330f5cab9f3c314fdae15609.jpg,https://cdn.assets.beatleader.xyz/songcover-8a1-Qubism.png,Qubism,Chart by Moriik,Hate vs Brilliance,moriik,180.0,114,4.655142,1.973232,6.4980664,5.4955163,"{'id': 8632, 'ssPredictedAcc': 0.98757327, 'ssPassRating': 1.5365427, 'ssAccRating': 6.1242733, 'ssTechRating': 4.4040976, 'ssStars': 4.117433, 'fsPredictedAcc': 0.9850584, 'fsPassRating': 2.5846784, 'fsAccRating': 7.1267347, 'fsTechRating': 6.3374233, 'fsStars': 5.413121, 'sfPredictedAcc': 0.98271525, 'sfPassRating': 3.5676305, 'sfAccRating': 7.9735117, 'sfTechRating': 7.843831, 'sfStars': 6.569006, 'bfsPredictedAcc': 0.9851926, 'bfsPassRating': 2.4404142, 'bfsAccRating': 6.5494037, 'bfsTechRating': 5.6663127, 'bfsStars': 4.8447585, 'bsfPredictedAcc': 0.98312175, 'bsfPassRating': 3.35707, 'bsfAccRating': 7.3346295, 'bsfTechRating': 6.847582, 'bsfStars': 5.8615103}",Hard,Midspeed,4.655142,1.973232,6.4980664,5.4955163
2401,21f691,21f6,https://eu.cdn.beatsaver.com/f77728bb6bffd097e6e4c10ccbe72b5e8a51ff82.jpg,https://cdn.assets.beatleader.xyz/songcover-21f6-quaver.jpg,quaver,dj TAKA,Hexagonial,hexagonial,182.0,211,11.234569,8.999779,10.9078665,10.372567,"{'id': 7719, 'ssPredictedAcc': 0.9719107, 'ssPassRating': 7.353532, 'ssAccRating': 10.200012, 'ssTechRating': 9.863743, 'ssStars': 9.936438, 'fsPredictedAcc': 0.96413356, 'fsPassRating': 11.156587, 'fsAccRating': 11.689427, 'fsTechRating': 10.5186, 'fsStars': 12.810584, 'sfPredictedAcc': 0.95742637, 'sfPassRating': 16.168964, 'sfAccRating': 12.688684, 'sfTechRating': 11.536371, 'sfStars': 16.199583, 'bfsPredictedAcc': 0.96415377, 'bfsPassRating': 10.047469, 'bfsAccRating': 12.593432, 'bfsTechRating': 10.3931675, 'bfsStars': 13.195282, 'bsfPredictedAcc': 0.9580812, 'bsfPassRating': 12.883492, 'bsfAccRating': 13.578201, 'bsfTechRating': 10.618263, 'bsfStars': 15.365036}",ExpertPlus,Tech,11.234569,8.999779,10.9078665,10.372567
2407,1a50411,1a504,https://eu.cdn.beatsaver.com/e42bcdf50ea1f961cb8cefe502e82806866f6479.jpg,https://cdn.assets.beatleader.xyz/songcover-1a504-cover.jpg,Quasar Dreams,,Fvrwvrd,ComplexFrequency & Fvrwvrd,310.0,217,5.76709,4.4676895,7.5616646,2.681231,"{'id': 7041, 'ssPredictedAcc': 0.984248, 'ssPassRating': 3.5956857, 'ssAccRating': 6.988077, 'ssTechRating': 2.2597656, 'ssStars': 5.028176, 'fsPredictedAcc': 0.9806448, 'fsPassRating': 5.629191, 'fsAccRating': 8.318001, 'fsTechRating': 2.7356517, 'fsStars': 6.710945, 'sfPredictedAcc': 0.9772615, 'sfPassRating': 7.614676, 'sfAccRating': 9.431421, 'sfTechRating': 2.9481409, 'sfStars': 8.284686, 'bfsPredictedAcc': 0.9810207, 'bfsPassRating': 5.593452, 'bfsAccRating': 8.109393, 'bfsTechRating': 2.7281032, 'bfsStars': 6.5316978, 'bsfPredictedAcc': 0.9784717, 'bsfPassRating': 7.297323, 'bsfAccRating': 9.019085, 'bsfTechRating': 2.9419355, 'bsfStars': 7.833864}",Easy,Midspeed,5.76709,4.4676895,7.5616646,2.681231
