,leaderboardId,songId,cover,fullCover,name,subName,author,mapper,bpm,duration,stars,passRating,accRating,techRating,modifiersRating,difficultyName,type,starsMod,passRatingMod,accRatingMod,techRatingMod
12,1ea8cxxxxx91,1ea8c,https://eu.cdn.beatsaver.com/5d663d78102b837fa4198673a178b88d10fd1f05.jpg,https://cdn.assets.beatleader.xyz/songcover-1ea8cxxxxx-cover.jpg,Zhuzhzhalka76,,Camellia,"yabje, Irish & fqrb",176.0,277,9.499429,9.020745,9.946385,4.83713,"{'id': 7502, 'ssPredictedAcc': 0.9783565, 'ssPassRating': 7.4979496, 'ssAccRating': 9.09255, 'ssTechRating': 4.476855, 'ssStars': 8.19245, 'fsPredictedAcc': 0.9714932, 'fsPassRating': 11.005414, 'fsAccRating': 11.0967245, 'fsTechRating': 4.74739, 'fsStars': 11.24746, 'sfPredictedAcc': 0.9641669, 'sfPassRating': 15.672458, 'sfAccRating': 12.590964, 'sfTechRating': 4.822254, 'sfStars': 14.682587, 'bfsPredictedAcc': 0.9722368, 'bfsPassRating': 10.982692, 'bfsAccRating': 10.911843, 'bfsTechRating': 4.849197, 'bfsStars': 11.087692, 'bsfPredictedAcc': 0.9668713, 'bsfPassRating': 14.289363, 'bsfAccRating': 12.101956, 'bsfTechRating': 5.0761366, 'bsfStars': 13.61545}",ExpertPlus,Midspeed,9.499429,9.020745,9.946385,4.83713
16,403891,4038,https://eu.cdn.beatsaver.com/3fb5c8cc39dfee210530c02fdc2eb55b9179209c.jpg,https://cdn.assets.beatleader.xyz/songcover-4038-KindaLewdTBH.jpg,Zettai Tokken Shuchou Shimasu! Hoshi Syoko Solo Remix,Syoko Hoshi (CV: Satsumi Matsuda),Aithke,AiThKe,200.0,197,9.132095,8.064455,9.333932,8.016513,"{'id': 8452, 'ssPredictedAcc': 0.97933024, 'ssPassRating': 6.6015353, 'ssAccRating': 8.594141, 'ssTechRating': 7.493124, 'ssStars': 7.940671, 'fsPredictedAcc': 0.97384036, 'fsPassRating': 9.984519, 'fsAccRating': 10.27, 'fsTechRating': 8.112755, 'fsStars': 10.657776, 'sfPredictedAcc': 0.96881634, 'sfPassRating': 14.259299, 'sfAccRating': 11.495967, 'sfTechRating': 8.663258, 'sfStars': 13.639274, 'bfsPredictedAcc': 0.97429127, 'bfsPassRating': 8.643012, 'bfsAccRating': 10.341566, 'bfsTechRating': 7.928092, 'bfsStars': 10.202657, 'bsfPredictedAcc': 0.9704038, 'bsfPassRating': 11.4194145, 'bsfAccRating': 11.379182, 'bsfTechRating': 8.422956, 'bsfStars': 12.27713}",ExpertPlus,Tech,9.132095,8.064455,9.333932,8.016513
19,3dd391,3dd3,https://eu.cdn.beatsaver.com/b24e5dbf100388db53bd9ee04eee66bd365df84b.jpg,https://cdn.assets.beatleader.xyz/songcover-3dd3-cover.jpg,Zetsubou Plantation,Yousei Teikoku,Rogdude,rogdude,230.0,217,8.664146,8.415664,9.193598,4.9975977,"{'id': 8448, 'ssPredictedAcc': 0.98075336, 'ssPassRating': 6.948418, 'ssAccRating': 8.276092, 'ssTechRating': 4.602277, 'ssStars': 7.354512, 'fsPredictedAcc': 0.97397995, 'fsPassRating': 10.330725, 'fsAccRating': 10.42931, 'fsTechRating': 4.9364133, 'fsStars': 10.4191, 'sfPredictedAcc': 0.96696097, 'sfPassRating': 14.679752, 'sfAccRating': 12.08639, 'sfTechRating': 5.0325365, 'sfStars': 13.770639, 'bfsPredictedAcc': 0.9747105, 'bfsPassRating': 10.053299, 'bfsAccRating': 10.225701, 'bfsTechRating': 5.057998, 'bfsStars': 10.153996, 'bsfPredictedAcc': 0.9695061, 'bsfPassRating': 13.178192, 'bsfAccRating': 11.571716, 'bsfTechRating': 5.3327227, 'bsfStars': 12.671177}",ExpertPlus,Midspeed,8.664146,8.415664,9.193598,4.9975977
23,2a25bx91,2a25b,https://eu.cdn.beatsaver.com/c2a0a526cdcaf7835636b7ee63645d2916a94979.jpg,https://cdn.assets.beatleader.xyz/songcover-2a25bx-cover.jpg,"zeke didn't ""invent dariacore"", i did",,coltrane,Anammelech,380.0,124,12.387432,13.860977,11.217056,3.8454206,"{'id': 8127, 'ssPredictedAcc': 0.9741723, 'ssPassRating': 11.699807, 'ssAccRating': 10.374921, 'ssTechRating': 3.6101892, 'ssStars': 10.684114, 'fsPredictedAcc': 0.9663853, 'fsPassRating': 16.702389, 'fsAccRating': 12.187012, 'fsTechRating': 3.6686902, 'fsStars': 14.593313, 'sfPredictedAcc': 0.95864254, 'sfPassRating': 24.856546, 'sfAccRating': 13.487733, 'sfTechRating': 3.6788142, 'sfStars': 20.635439, 'bfsPredictedAcc': 0.96729326, 'bfsPassRating': 16.748884, 'bfsAccRating': 12.02906, 'bfsTechRating': 3.9315443, 'bfsStars': 14.509667, 'bsfPredictedAcc': 0.96177304, 'bsfPassRating': 21.65142, 'bsfAccRating': 13.004528, 'bsfTechRating': 4.0696597, 'bsfStars': 18.170074}",ExpertPlus,Speed,12.387432,13.860977,11.217056,3.8454206
31,c1b291,c1b2,https://eu.cdn.beatsaver.com/697b9800de84149ef6e938ea198f0af14c391ec0.jpg,https://cdn.assets.beatleader.xyz/songcover-c1b2-cover.jpg,Z:iRNiTRA,,Camellia,DE125 & TheRealZeroz,235.0,384,12.314114,9.309997,12.816015,5.6080327,"{'id': 8840, 'ssPredictedAcc': 0.96939987, 'ssPassRating': 7.7106876, 'ssAccRating': 11.850542, 'ssTechRating': 5.2304335, 'ssStars': 10.787401, 'fsPredictedAcc': 0.95646846, 'fsPassRating': 11.390534, 'fsAccRating': 14.10956, 'fsTechRating': 5.5302196, 'fsStars': 14.349781, 'sfPredictedAcc': 0.9435481, 'sfPassRating': 16.326262, 'sfAccRating': 15.878589, 'sfTechRating': 5.608525, 'sfStars': 18.407122, 'bfsPredictedAcc': 0.95796317, 'bfsPassRating': 11.881897, 'bfsAccRating': 13.597382, 'bfsTechRating': 5.8668313, 'bfsStars': 14.123576, 'bsfPredictedAcc': 0.9483549, 'bsfPassRating': 15.539194, 'bsfAccRating': 14.922162, 'bsfTechRating': 6.1475534, 'bsfStars': 17.14343}",ExpertPlus,Midspeed,12.314114,9.309997,12.816015,5.6080327
36,1728b91,1728b,https://eu.cdn.beatsaver.com/e95e27664221b820f3b060029bafdc1b66719f36.jpg,https://cdn.assets.beatleader.xyz/songcover-1728b-cover.png,YURUSHITE,(LeaF Remix),t+pazolite,Atomosophere,280.0,311,8.800422,8.077817,9.388451,5.5437717,"{'id': 6727, 'ssPredictedAcc': 0.9796008, 'ssPassRating': 6.702457, 'ssAccRating': 8.678523, 'ssTechRating': 5.1193805, 'ssStars': 7.6867056, 'fsPredictedAcc': 0.9743114, 'fsPassRating': 9.881482, 'fsAccRating': 10.342575, 'fsTechRating': 5.513282, 'fsStars': 10.26683, 'sfPredictedAcc': 0.96901166, 'sfPassRating': 13.936925, 'sfAccRating': 11.684329, 'sfTechRating': 5.634927, 'sfStars': 13.158347, 'bfsPredictedAcc': 0.97498095, 'bfsPassRating': 9.970396, 'bfsAccRating': 10.152336, 'bfsTechRating': 5.837356, 'bfsStars': 10.182583, 'bsfPredictedAcc': 0.97116214, 'bsfPassRating': 12.998547, 'bsfAccRating': 11.181068, 'bsfTechRating': 6.1343226, 'bsfStars': 12.365315}",ExpertPlus,Midspeed,8.800422,8.077817,9.388451,5.5437717
38,483791,4837,https://eu.cdn.beatsaver.com/9d5d9271f2f7e793748ad4028511edee800b40e8.jpg,https://cdn.assets.beatleader.xyz/songcover-4837-yugure.jpg,Yugure,Kobaryo,Souk & Puds,Soup,180.0,216,10.085912,6.9613485,11.171456,6.2432365,"{'id': 8470, 'ssPredictedAcc': 0.9748153, 'ssPassRating': 5.6794004, 'ssAccRating': 10.197142, 'ssTechRating': 5.6995826, 'ssStars': 8.732073, 'fsPredictedAcc': 0.9654208, 'fsPassRating': 8.642984, 'fsAccRating': 12.35941, 'fsTechRating': 6.3240843, 'fsStars': 11.762995, 'sfPredictedAcc': 0.955271, 'sfPassRating': 12.138462, 'sfAccRating': 13.970552, 'sfTechRating': 6.613435, 'sfStars': 14.720739, 'bfsPredictedAcc': 0.9664403, 'bfsPassRating': 8.922884, 'bfsAccRating': 12.177326, 'bfsTechRating': 6.2700896, 'bfsStars': 11.690508, 'bsfPredictedAcc': 0.95896435, 'bsfPassRating': 11.818763, 'bsfAccRating': 13.436412, 'bsfTechRating': 6.6832952, 'bsfStars': 14.083467}",ExpertPlus,Midspeed,10.085912,6.9613485,11.171456,6.2432365
39,35d5bx31,35d5b,https://cdn.beatsaver.com/bd44a27d1c94079bfb8e3f3209fd8d69798d6db8.jpg,https://cdn.assets.beatleader.xyz/songcover-35d5bx-71697cf7f00c26c33d54b1bc59a3d31d.1000x1000x1.png,Yuck,,Charli XCX,August,101.0,141,1.4894474,0.19617254,3.360424,0.23117727,"{'id': 1044336, 'ssPredictedAcc': 0.9941339, 'ssPassRating': 0.1449333, 'ssAccRating': 3.2449791, 'ssTechRating': 0.17238648, 'ssStars': 1.418123, 'fsPredictedAcc': 0.99331355, 'fsPassRating': 0.27429214, 'fsAccRating': 3.5328813, 'fsTechRating': 0.3187224, 'fsStars': 1.5974454, 'sfPredictedAcc': 0.9922595, 'sfPassRating': 0.4103373, 'sfAccRating': 3.902444, 'sfTechRating': 0.46536076, 'sfStars': 1.8457731, 'bfsPredictedAcc': 0.99348027, 'bfsPassRating': 0.20113891, 'bfsAccRating': 3.4703102, 'bfsTechRating': 0.22259876, 'bfsStars': 1.5514038, 'bsfPredictedAcc': 0.9926714, 'bsfPassRating': 0.30113253, 'bsfAccRating': 3.7779207, 'bsfTechRating': 0.32777908, 'bsfStars': 1.7415723}",Normal,Accuracy,1.4894474,0.19617254,3.360424,0.23117727
40,35d5bx51,35d5b,https://cdn.beatsaver.com/bd44a27d1c94079bfb8e3f3209fd8d69798d6db8.jpg,https://cdn.assets.beatleader.xyz/songcover-35d5bx-71697cf7f00c26c33d54b1bc59a3d31d.1000x1000x1.png,Yuck,,Charli XCX,August,101.0,141,1.6917299,0.57464415,3.5531986,0.48592922,"{'id': 1044337, 'ssPredictedAcc': 0.99381036, 'ssPassRating': 0.43235165, 'ssAccRating': 3.3527353, 'ssTechRating': 0.3750285, 'ssStars': 1.5215943, 'fsPredictedAcc': 0.9925697, 'fsPassRating': 0.7848697, 'fsAccRating': 3.807921, 'fsTechRating': 0.6395159, 'fsStars': 1.9185055, 'sfPredictedAcc': 0.99146724, 'sfPassRating': 1.1356064, 'sfAccRating': 4.166615, 'sfTechRating': 0.8707953, 'sfStars': 2.2573278, 'bfsPredictedAcc': 0.99283653, 'bfsPassRating': 0.74148005, 'bfsAccRating': 3.7250729, 'bfsTechRating': 0.56638134, 'bfsStars': 1.8489757, 'bsfPredictedAcc': 0.9921553, 'bsfPassRating': 1.0734673, 'bsfAccRating': 3.9352608, 'bsfTechRating': 0.7776324, 'bsfStars': 2.0872824}",Hard,Accuracy,1.6917299,0.57464415,3.5531986,0.48592922
41,35d5bx71,35d5b,https://cdn.beatsaver.com/bd44a27d1c94079bfb8e3f3209fd8d69798d6db8.jpg,https://cdn.assets.beatleader.xyz/songcover-35d5bx-71697cf7f00c26c33d54b1bc59a3d31d.1000x1000x1.png,Yuck,,Charli XCX,August,101.0,141,4.29685,2.8733027,6.1705403,2.7643237,"{'id': 1044338, 'ssPredictedAcc': 0.9874831, 'ssPassRating': 2.2609916, 'ssAccRating': 5.661072, 'ssTechRating': 2.3904598, 'ssStars': 3.724462, 'fsPredictedAcc': 0.9841267, 'fsPassRating': 3.713538, 'fsAccRating': 6.9313498, 'fsTechRating': 3.1593242, 'fsStars': 5.1397276, 'sfPredictedAcc': 0.9805656, 'sfPassRating': 4.9912763, 'sfAccRating': 8.289673, 'sfTechRating': 3.5708942, 'sfStars': 6.6200976, 'bfsPredictedAcc': 0.9846388, 'bfsPassRating': 3.3249257, 'bfsAccRating': 6.742434, 'bfsTechRating': 2.8815324, 'bfsStars': 4.8544407, 'bsfPredictedAcc': 0.98204744, 'bsfPassRating': 4.4935503, 'bsfAccRating': 7.7300787, 'bsfTechRating': 3.336078, 'bsfStars': 5.9981008}",Expert,Accuracy,4.29685,2.8733027,6.1705403,2.7643237
